,"MPSSAA Basketball History of Finalists, 1947-2024",,,,,,
,GIRLS,,,,BOYS,,
,TEAM,YEAR,Final Standing,,TEAM,YEAR,Standing
,GWYNN PARK,1947,Champion,,BRUNSWICK,1947, Semifinalist
,MIDDLETOWN,1973, Semifinalist,,DENTON,1947, Semifinalist
,SHERWOOD,1973, Semifinalist,,GLEN BURNIE,1947, Semifinalist
,SNOW HILL,1973, Finalist,,HAGERSTOWN,1947, Semifinalist
,PARKVILLE,1973, Champion,,HYATTSVILLE,1947, Semifinalist
,ANNAPOLIS,1974,Semifinalist,,SUDLERSVILLE,1947, Semifinalist
,HIGH POINT,1974,Semifinalist,,WICOMICO,1947, Semifinalist
,SNOW HILL,1974, Finalist,,WILLIAMSPORT,1947, Semifinalist
,SHERWOOD,1974, Champion,,CAMBRIDGE,1947, Finalist
,ANNAPOLIS,1975,Semifinalist,,EASTON,1947, Finalist
,CHOPTICON,1975,Semifinalist,,SPARROWS POINT,1947, Finalist
,BLADENSBURG,1975,Champion,,VIENNA,1947, Finalist
,MOUNT SAVAGE,1975, Semifinalist,,ALLEGANY,1947, Champion
,NORTH EAST (Cecil),1975, Semifinalist,,GREENBELT,1947, Champion
,SNOW HILL,1975, Semifinalist,,MOUNT RAINIER,1947, Champion
,WHEATON,1975, Semifinalist,,WESTMINSTER,1947, Champion
,ANNAPOLIS,1976,Semifinalist,,BETHESDA-CHEVY CHASE,1948, Semifinalist
,JAMES M. BENNETT,1976,Semifinalist,,DAMASCUS,1948, Semifinalist
,KENT COUNTY,1976,Semifinalist,,ELKTON,1948, Semifinalist
,BLADENSBURG,1976,Champion,,GREENBELT,1948, Semifinalist
,LOCH RAVEN,1976,Champion,,SPARKS,1948, Semifinalist
,NORTH EAST (Cecil),1976, Semifinalist,,SUDLERSVILLE,1948, Semifinalist
,NORTH HAGERSTOWN,1976, Semifinalist,,CAMBRIDGE,1948, Finalist
,POCOMOKE,1976, Semifinalist,,OCEAN CITY,1948, Finalist
,WILDE LAKE,1976, Semifinalist,,WASHINGTON,1948, Finalist
,MOUNT SAVAGE,1976, Finalist,,WICOMICO,1948, Finalist
,PARKVILLE,1976, Finalist,,BRUCE,1948, Champion
,WHEATON,1976, Finalist,,CALVERT,1948, Champion
,OXON HILL,1976, Champion,,FORT HILL,1948, Champion
,SHERWOOD,1976, Champion,,FRANKLIN,1948, Champion
,SMITHSBURG,1976, Champion,,WILLIAMSPORT,1948, Champion
