year,school,final standing
1947,GWYNN PARK,Champion
1974,ANNAPOLIS,Semifinalist
1974,HIGH POINT,Semifinalist
1975,ANNAPOLIS,Semifinalist
1975,BLADENSBURG,Champion
1975,CHOPTICON,Semifinalist
1976,ANNAPOLIS,Semifinalist
1976,JAMES M. BENNETT,Semifinalist
1976,BLADENSBURG,Champion
1976,KENT COUNTY,Semifinalist
1976,LOCH RAVEN,Champion
1977,ANDOVER,Champion
1977,ANNAPOLIS,Finalist
1977,STEPHEN DECATUR,Finalist
1977,DULANEY,Semifinalist
1977,DUVAL,Champion
1977,LA PLATA,Champion
1977,HEREFORD,Semifinalist
1977,MARDELA,Semifinalist
1978,ANDOVER,Finalist
1978,FRIENDLY,Semifinalist
1978,KENT COUNTY,Semifinalist
1978,FRANCIS SCOTT KEY,Finalist
1978,HAVRE DE GRACE,Champion
1978,MARDELA,Finalist
1979,BEL AIR,Semifinalist
1979,FORT HILL,Finalist
1979,FRIENDLY,Semifinalist
1979,KENT COUNTY,Semifinalist
1980,CENTENNIAL,Finalist
1980,DUVAL,Champion
1980,FREDERICK,Semifinalist
1980,LEONARDTOWN,Semifinalist
1980,GREAT MILLS,Semifinalist
1980,ELKTON,Semifinalist
1981,ANDOVER,Semifinalist
1981,BEALL,Semifinalist
1981,CENTENNIAL,Champion
1981,DAMASCUS,Semifinalist
1981,DOUGLASS (PG),Finalist
1981,DULANEY,Semifinalist
1981,LARGO,Semifinalist
1981,LEONARDTOWN,Semifinalist
1981,ELKTON,Semifinalist
1982,ANDOVER,Semifinalist
1982,ANNAPOLIS,Finalist
1982,ATHOLTON,Semifinalist
1982,MONTGOMERY BLAIR,Champion
1982,BROOKLYN PARK,Champion
1982,DULANEY,Semifinalist
1982,DUVAL,Champion
1982,FRIENDLY,Semifinalist
1982,HEREFORD,Finalist
1983,ANDOVER,Semifinalist
1983,BROOKLYN PARK,Finalist
1983,DULANEY,Semifinalist
1983,GOV. THOMAS JOHNSON,Champion
1983,GLEN BURNIE,Semifinalist
1983,COL. ZADOK MAGRUDER,Finalist
1983,LIBERTY,Finalist
1984,CATONSVILLE,Finalist
1984,CROSSLAND,Champion
1984,DULANEY,Semifinalist
1984,FAIRMONT HEIGHTS,Champion
1984,FALLSTON,Semifinalist
1984,FORT HILL,Semifinalist
1985,BROOKLYN PARK,Champion
1985,CATOCTIN,Semifinalist
1985,DULANEY,Semifinalist
1985,FAIRMONT HEIGHTS,Semifinalist
1985,FORESTVILLE,Semifinalist
1985,COL. ZADOK MAGRUDER,Semifinalist
1986,BLADENSBURG,Finalist
1986,BROOKLYN PARK,Champion
1986,CATOCTIN,Finalist
1986,FALLSTON,Semifinalist
1986,WALTER JOHNSON,Semifinalist
1987,BLADENSBURG,Semifinalist
1987,BROOKLYN PARK,Champion
1987,CATONSVILLE,Finalist
1987,DULANEY,Semifinalist
1987,FALLSTON,Semifinalist
1987,GOV. THOMAS JOHNSON,Semifinalist
1987,FRANCIS SCOTT KEY,Semifinalist
1987,LA PLATA,Champion
1987,LINGANORE,Semifinalist
1988,MONTGOMERY BLAIR,Semifinalist
1988,BROOKLYN PARK,Champion
1988,DULANEY,Champion
1988,FRIENDLY,Finalist
1988,GOV. THOMAS JOHNSON,Finalist
1988,LANSDOWNE,Finalist
1988,LANSDOWNE,Semifinalist
1988,GREAT MILLS,Champion
1988,GWYNN PARK,Finalist
1988,HEREFORD,Semifinalist
1988,MARDELA,Semifinalist
1988,MEADE,Finalist
1989,ANDOVER,Finalist
1989,BROADNECK,Champion
1989,BROOKLYN PARK,Champion
1989,STEPHEN DECATUR,Semifinalist
1989,FRIENDLY,Finalist
1989,GOV. THOMAS JOHNSON,Champion
1989,LANSDOWNE,Finalist
1989,LANSDOWNE,Semifinalist
1989,GLENELG,Finalist
1989,ALBERT EINSTEIN,Semifinalist
1990,MONTGOMERY BLAIR,Semifinalist
1990,BROADNECK,Champion
1990,BROOKLYN PARK,Finalist
1990,DOUGLASS (PG),Finalist
1990,GOV. THOMAS JOHNSON,Finalist
1990,HEREFORD,Semifinalist
1990,MARDELA,Semifinalist
1991,BRUNSWICK,Semifinalist
1991,DOUGLASS (PG),Semifinalist
1991,DUVAL,Champion
1991,FAIRMONT HEIGHTS,Semifinalist
1991,FREDERICK,Semifinalist
1991,GAITHERSBURG,Semifinalist
1991,KENT COUNTY,Semifinalist
1991,GLENELG,Semifinalist
1992,BOWIE,Finalist
1992,BRUNSWICK,Semifinalist
1992,CALVERT,Semifinalist
1992,DAMASCUS,Semifinalist
1992,FALLSTON,Finalist
1992,LEONARDTOWN,Semifinalist
1992,GLENELG,Finalist
1992,HAMMOND,Champion
1992,LINGANORE,Champion
1992,LAUREL,Semifinalist
1993,BLADENSBURG,Champion
1993,CENTRAL (PG),Semifinalist
1993,EASTON,Champion
1993,FALLSTON,Semifinalist
1993,LANSDOWNE,Semifinalist
1993,HAMMOND,Finalist
1993,HOWARD,Semifinalist
1994,ANNAPOLIS,Semifinalist
1994,CATOCTIN,Semifinalist
1994,DUVAL,Semifinalist
1994,EASTON,Champion
1994,FALLSTON,Semifinalist
1994,HAMMOND,Champion
1994,HOWARD,Champion
1995,ARUNDEL,Finalist
1995,BLADENSBURG,Finalist
1995,MONTGOMERY BLAIR,Semifinalist
1995,FALLSTON,Finalist
1995,HAMMOND,Champion
1996,ARUNDEL,Champion
1996,BRUNSWICK,Champion
1996,DOUGLASS (PG),Semifinalist
1996,GAITHERSBURG,Semifinalist
1996,HAMMOND,Finalist
1996,HAVRE DE GRACE,Finalist
1996,LINGANORE,Champion
1996,HOWARD,Semifinalist
1997,ANNAPOLIS,Semifinalist
1997,MONTGOMERY BLAIR,Finalist
1997,CENTENNIAL,Finalist
1997,FALLSTON,Semifinalist
1997,FRIENDLY,Semifinalist
1997,FRANCIS SCOTT KEY,Champion
1997,LARGO,Champion
1997,HEREFORD,Semifinalist
1997,LINGANORE,Champion
1997,MARDELA,Semifinalist
1998,ARUNDEL,Finalist
1998,HAVRE DE GRACE,Semifinalist
1999,ALLEGANY,Finalist
1999,CAMBRIDGE/SD,Semifinalist
1999,CENTRAL (PG),Semifinalist
1999,DUVAL,Champion
1999,FREDERICK,Semifinalist
1999,GLENELG,Champion
2000,ALLEGANY,Champion
2000,ARUNDEL,Champion
