"Rk.x","Player","Debut.x","Age.x","Yrs.x","G.x","MP...7.x","FG.x","FGA.x","3P.x","3PA.x","FT.x","FTA.x","ORB.x","TRB...15.x","AST...16.x","STL...17.x","BLK...18.x","TOV.x","PF.x","PTS...21.x","FG%.x","3P%.x","FT%.x","MP...25.x","PTS...26.x","TRB...27.x","AST...28.x","STL...29.x","BLK...30.x","year","first_team","Rk.y","Debut.y","Age.y","Yrs.y","G.y","MP...7.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB...15.y","AST...16.y","STL...17.y","BLK...18.y","TOV.y","PF.y","PTS...21.y","FG%.y","3P%.y","FT%.y","MP...25.y","PTS...26.y","TRB...27.y","AST...28.y","STL...29.y","BLK...30.y"
1,"Alexis Ajinça","Oct 30, '08, CHA @ CLE",20,1,31,182,25,69,0,2,20,28,9,30,3,7,6,12,34,70,0.362,0,0.714,5.9,2.3,1,0.1,0.2,0.2,2008,"CHA",1,"Oct 30, '08, CHA @ CLE",20,7,293,3905,645,1283,12,42,251,315,346,1150,143,102,181,249,661,1553,0.503,0.286,0.797,13.3,5.3,3.9,0.5,0.3,0.6
2,"Joe Alexander","Nov 2, '08, MIL @ NYK",22,1,59,716,102,245,16,46,58,83,44,115,42,15,29,52,107,278,0.416,0.348,0.699,12.1,4.7,1.9,0.7,0.3,0.5,2008,"MIL",2,"Nov 2, '08, MIL @ NYK",22,2,67,745,103,251,16,47,60,86,46,120,44,16,30,52,116,282,0.41,0.34,0.698,11.1,4.2,1.8,0.7,0.2,0.4
3,"Ryan Anderson","Oct 29, '08, NJN @ WAS",20,1,66,1312,160,407,69,189,98,116,104,311,52,44,20,63,157,487,0.393,0.365,0.845,19.9,7.4,4.7,0.8,0.7,0.3,2008,"NJN",3,"Oct 29, '08, NJN @ WAS",20,12,649,16769,2755,6533,1325,3491,1166,1366,1247,3413,586,332,217,606,1263,8001,0.422,0.38,0.854,25.8,12.3,5.3,0.9,0.5,0.3
4,"Darrell Arthur","Oct 29, '08, MEM @ HOU",20,1,76,1464,191,436,0,2,40,60,108,346,43,52,52,47,206,422,0.438,0,0.667,19.3,5.6,4.6,0.6,0.7,0.7,2008,"MEM",4,"Oct 29, '08, MEM @ HOU",20,9,503,8945,1381,3110,161,458,359,469,547,1768,409,309,307,422,1234,3282,0.444,0.352,0.765,17.8,6.5,3.5,0.8,0.6,0.6
5,"D.J. Augustin","Oct 30, '08, CHA @ CLE",21,1,72,1908,267,621,108,246,208,233,17,133,250,42,2,119,140,850,0.43,0.439,0.893,26.5,11.8,1.8,3.5,0.6,0,2008,"CHA",5,"Oct 30, '08, CHA @ CLE",21,14,976,22851,2994,7270,1262,3311,2009,2317,292,1805,3761,567,32,1428,1350,9259,0.412,0.381,0.867,23.4,9.5,1.8,3.9,0.6,0
6,"Nicolas Batum","Oct 28, '08, POR @ LAL",20,1,79,1454,161,361,62,168,42,52,84,220,74,50,40,50,139,426,0.446,0.369,0.808,18.4,5.4,2.8,0.9,0.6,0.5,2008,"POR",6,"Oct 28, '08, POR @ LAL",20,16,1053,31268,3891,8906,1662,4540,1503,1807,1046,5254,3464,976,661,1632,1838,10947,0.437,0.366,0.832,29.7,10.4,5,3.3,0.9,0.6
7,"Jerryd Bayless","Oct 28, '08, POR @ LAL",20,1,53,655,69,189,7,27,83,103,8,57,78,16,2,56,81,228,0.365,0.259,0.806,12.4,4.3,1.1,1.5,0.3,0,2008,"POR",7,"Oct 28, '08, POR @ LAL",20,11,586,12486,1719,4180,499,1382,972,1188,176,1235,1674,370,73,825,1206,4909,0.411,0.361,0.818,21.3,8.4,2.1,2.9,0.6,0.1
8,"Michael Beasley","Oct 29, '08, MIA @ NYK",20,1,81,2009,452,957,33,81,186,241,110,439,83,41,37,121,184,1123,0.472,0.407,0.772,24.8,13.9,5.4,1,0.5,0.5,2008,"MIA",8,"Oct 29, '08, MIA @ NYK",20,11,609,13903,3088,6644,291,835,1101,1450,664,2861,788,345,314,1025,1294,7568,0.465,0.349,0.759,22.8,12.4,4.7,1.3,0.6,0.5
9,"Bobby Brown","Oct 31, '08, SAC @ MIA",24,1,68,931,141,360,45,130,34,43,14,52,117,21,3,63,95,361,0.392,0.346,0.791,13.7,5.3,0.8,1.7,0.3,0,2008,"SAC",9,"Oct 31, '08, SAC @ MIA",24,4,158,1688,271,715,96,303,50,62,23,103,230,41,4,123,148,688,0.379,0.317,0.806,10.7,4.4,0.7,1.5,0.3,0
10,"Mario Chalmers","Oct 29, '08, MIA @ NYK",22,1,82,2626,278,662,114,311,148,193,37,228,403,160,8,165,240,818,0.42,0.367,0.767,32,10,2.8,4.9,2,0.1,2008,"MIA",10,"Oct 29, '08, MIA @ NYK",22,9,646,17245,1936,4641,755,2153,1116,1407,211,1585,2412,950,103,1202,1756,5743,0.417,0.351,0.793,26.7,8.9,2.5,3.7,1.5,0.2
11,"Joe Crawford","Apr 8, '09, NYK vs. DET",22,1,2,23,3,10,1,4,2,2,1,4,1,1,0,0,2,9,0.3,0.25,1,11.5,4.5,2,0.5,0.5,0,2008,"NYK",11,"Apr 8, '09, NYK vs. DET",22,1,2,23,3,10,1,4,2,2,1,4,1,1,0,0,2,9,0.3,0.25,1,11.5,4.5,2,0.5,0.5,0
12,"Joey Dorsey","Nov 9, '08, HOU @ LAL",25,1,3,6,1,2,0,0,0,0,0,1,1,0,0,0,0,2,0.5,NA,NA,2,0.7,0.3,0.3,0,0,2008,"HOU",12,"Nov 9, '08, HOU @ LAL",25,4,130,1488,142,266,0,1,60,160,198,513,55,67,44,86,256,344,0.534,0,0.375,11.4,2.6,3.9,0.4,0.5,0.3
13,"Chris Douglas-Roberts","Oct 29, '08, NJN @ WAS",22,1,44,585,81,176,3,12,51,62,14,50,52,12,7,31,34,216,0.46,0.25,0.823,13.3,4.9,1.1,1.2,0.3,0.2,2008,"NJN",13,"Oct 29, '08, NJN @ WAS",22,6,222,4381,574,1309,84,255,339,408,83,472,254,128,55,200,287,1571,0.439,0.329,0.831,19.7,7.1,2.1,1.1,0.6,0.2
14,"Goran Dragić","Oct 29, '08, PHO @ SAS",22,1,55,728,88,224,20,54,50,65,33,103,111,29,3,73,87,246,0.393,0.37,0.769,13.2,4.5,1.9,2,0.5,0.1,2008,"PHO",14,"Oct 29, '08, PHO @ SAS",22,15,946,25604,4605,10029,1150,3181,2208,2883,643,2816,4405,876,167,2064,2119,12568,0.459,0.362,0.766,27.1,13.3,3,4.7,0.9,0.2
15,"Rudy Fernández","Oct 28, '08, POR @ LAL",23,1,78,1993,268,630,159,398,120,143,47,207,159,69,12,86,111,815,0.425,0.399,0.839,25.6,10.4,2.7,2,0.9,0.2,2008,"POR",15,"Oct 28, '08, POR @ LAL",23,4,249,5965,740,1853,413,1147,361,430,128,608,554,249,40,286,369,2254,0.399,0.36,0.84,24,9.1,2.4,2.2,1,0.2
16,"Danilo Gallinari","Oct 29, '08, NYK vs. MIA",20,1,28,412,56,125,32,72,26,27,13,55,15,14,4,15,48,170,0.448,0.444,0.963,14.7,6.1,2,0.5,0.5,0.1,2008,"NYK",16,"Oct 29, '08, NYK vs. MIA",20,14,777,22410,3537,8266,1456,3825,3077,3511,521,3618,1469,550,268,908,1355,11607,0.428,0.381,0.876,28.8,14.9,4.7,1.9,0.7,0.3
17,"Marc Gasol","Oct 29, '08, MEM @ HOU",24,1,82,2521,350,661,0,1,275,375,201,605,143,63,90,164,265,975,0.53,0,0.733,30.7,11.9,7.4,1.7,0.8,1.1,2008,"MEM",17,"Oct 29, '08, MEM @ HOU",24,13,891,28719,4635,9638,431,1197,2813,3625,1411,6604,2996,792,1254,1755,2551,12514,0.481,0.36,0.776,32.2,14,7.4,3.4,0.9,1.4
18,"J.R. Giddens","Feb 22, '09, BOS @ PHO",23,1,6,8,2,3,0,0,0,0,2,3,0,1,0,1,1,4,0.667,NA,NA,1.3,0.7,0.5,0,0.2,0,2008,"BOS",18,"Feb 22, '09, BOS @ PHO",23,2,38,247,30,63,0,10,13,23,18,54,13,10,2,18,30,73,0.476,0,0.565,6.5,1.9,1.4,0.3,0.3,0.1
19,"Eric Gordon","Oct 29, '08, LAC vs. LAL",20,1,78,2677,411,901,131,337,299,350,45,201,215,78,35,164,172,1252,0.456,0.389,0.854,34.3,16.1,2.6,2.8,1,0.4,2008,"LAC",19,"Oct 29, '08, LAC vs. LAL",20,16,886,28115,4734,11010,2028,5465,2372,2926,330,2067,2443,750,313,1648,1578,13868,0.43,0.371,0.811,31.7,15.7,2.3,2.8,0.8,0.4
