"X","X.1","X.2","X.3","X.4","X.5","Totals","Totals.1","Totals.2","Totals.3","Totals.4","Shooting","Shooting.1","Shooting.2","Per.Game","Per.Game.1","Per.Game.2","Per.Game.3","Advanced","Advanced.1","Advanced.2","Advanced.3","Team"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2024","NBA","1","1","Zaccharie Risacher","","16","416","192","65","23",".386",".253",".692","26.0","12.0","4.1","1.4","0.1",".006","-5.2","-0.3","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2023","NBA","1","15","Kobe Bufkin","Michigan","19","226","92","37","28",".356",".224",".538","11.9","4.8","1.9","1.5","-0.2","-0.045","-5.3","-0.2","ATL"
"2023","NBA","2","46","Seth Lundy","Penn State","9","52","14","7","0",".235",".231",".750","5.8","1.6","0.8","0.0","-0.1","-0.092","-12.7","-0.1","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2022","NBA","1","16","A.J. Griffin","Duke","92","1572","687","171","78",".447",".372",".898","17.1","7.5","1.9","0.8","1.8",".053","-1.7","0.1","ATL"
"2022","NBA","2","44","Ryan Rollins (↳GSW)","Toledo","34","208","96","36","29",".443",".500",".815","6.1","2.8","1.1","0.9","0.1",".027","-0.4","0.1","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2021","NBA","1","20","Jalen Johnson","Duke","163","3598","1629","949","368",".500",".329",".701","22.1","10.0","5.8","2.3","6.7",".090","0.5","2.3","ATL"
"2021","NBA","2","48","Sharife Coooper","Auburn","13","39","7","5","5",".214",".167","","3.0","0.5","0.4","0.4","-0.2","-0.297","-16.3","-0.1","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2020","NBA","1","6","Onyeka Okongwu","USC","247","5178","2125","1489","248",".632",".295",".757","21.0","8.6","6.0","1.0","18.6",".173","0.1","2.8","ATL"
"2020","NBA","2","50","Skylar Mays","LSU","105","1111","451","122","182",".445",".345",".859","10.6","4.3","1.2","1.7","2.1",".092","-0.7","0.4","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2019","NBA","1","8","Jaxson Hayes (↳NOP)","Texas","321","5104","2174","1220","210",".637",".268",".710","15.9","6.8","3.8","0.7","17.1",".161","-0.4","2.1","ATL"
"2019","NBA","1","10","Cam Reddish","Duke","230","5480","2091","643","280",".401",".328",".828","23.8","9.1","2.8","1.2","3.0",".027","-3.1","-1.5","ATL"
"2019","NBA","2","35","Marcos Louzada Silva (↳NOP)","","12","185","43","20","8",".326",".355","1.000","15.4","3.6","1.7","0.7","-0.1","-0.034","-8.1","-0.3","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2018","NBA","1","3","Luka Dončić (↳DAL)","","414","14456","11863","3579","3424",".469",".346",".748","34.9","28.7","8.6","8.3","52.8",".175","7.7","35.2","ATL"
"2018","NBA","1","19","Kevin Huerter","Maryland","426","12260","5065","1485","1291",".443",".379",".761","28.8","11.9","3.5","3.0","17.8",".070","-0.9","3.5","ATL"
"2018","NBA","1","30","Omari Spellman","Villanova","95","1691","642","413","94",".417",".366",".766","17.8","6.8","4.3","1.0","2.4",".068","-1.5","0.2","ATL"
"2018","NBA","2","34","Devonte' Graham (↳CHO)","Kansas","336","8359","3733","758","1448",".371",".354",".812","24.9","11.1","2.3","4.3","12.7",".073","-0.5","3.2","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2017","NBA","1","19","John Collins","Wake Forest","447","12933","7059","3602","656",".547",".358",".791","28.9","15.8","8.1","1.5","37.8",".140","0.7","8.7","ATL"
"2017","NBA","2","41","Tyler Dorsey","Oregon","107","1680","710","245","135",".392",".351",".669","15.7","6.6","2.3","1.3","1.1",".031","-3.0","-0.5","ATL"
"2017","NBA","2","60","Alpha Kaba","","","","","","","","","","","","","","","","","","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2016","NBA","1","21","DeAndre' Bembry","Saint Joseph's","296","5670","1750","950","533",".474",".283",".611","19.2","5.9","3.2","1.8","4.4",".038","-2.3","-0.4","ATL"
"2016","NBA","2","44","Isaïa Cordinier","","","","","","","","","","","","","","","","","","ATL"
"2016","NBA","2","54","Kay Felder (↳CLE)","Oakland","58","526","223","59","78",".364",".268",".754","9.1","3.8","1.0","1.3","-0.4","-0.041","-4.7","-0.4","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2015","NBA","1","15","Kelly Oubre (↳WAS)","Kansas","609","16086","7971","2730","655",".434",".326",".751","26.4","13.1","4.5","1.1","22.3",".066","-1.9","0.4","ATL"
"2015","NBA","2","50","Marcus Eriksson","","","","","","","","","","","","","","","","","","ATL"
"2015","NBA","2","59","Dimitrios Agravanis","","","","","","","","","","","","","","","","","","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2014","NBA","1","15","Adreian Payne","Michigan State","107","1403","429","315","66",".406",".254",".680","13.1","4.0","2.9","0.6","-0.6","-0.019","-5.9","-1.4","ATL"
"2014","NBA","2","43","Edy Tavares","","13","101","33","32","4",".625","",".273","7.8","2.5","2.5","0.3","0.2",".118","-0.4","0.0","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2013","NBA","1","17","Dennis Schröder","","782","21434","11025","2281","3790",".434",".344",".836","27.4","14.1","2.9","4.8","30.7",".069","-1.4","3.4","ATL"
"2013","NBA","1","18","Shane Larkin (↳DAL)","Miami (FL)","256","4880","1399","490","737",".422",".336",".777","19.1","5.5","1.9","2.9","4.4",".044","-2.4","-0.6","ATL"
"2013","NBA","2","47","Raul Neto (↳UTA)","","435","6765","2470","658","913",".458",".361",".812","15.6","5.7","1.5","2.1","11.6",".082","-1.5","0.8","ATL"
"2013","NBA","2","50","James Ennis (↳MIA)","Cal State Long Beach","395","8022","2629","1306","373",".457",".360",".797","20.3","6.7","3.3","0.9","16.2",".097","-1.5","0.9","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2012","NBA","1","23","John Jenkins","Vanderbilt","171","2183","855","250","138",".441",".367",".847","12.8","5.0","1.5","0.8","3.0",".065","-1.9","0.1","ATL"
"2012","NBA","2","43","Mike Scott","Virginia","555","9182","3736","1727","499",".453",".362",".757","16.5","6.7","3.1","0.9","16.8",".088","-1.7","0.6","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2011","NBA","2","48","Keith Benson","Oakland","3","9","0","3","0",".000","","","3.0","0.0","1.0","0.0","0.0","-0.005","-7.7","0.0","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2010","NBA","1","24","Damion James (↳NJN)","Texas","39","623","150","131","26",".415",".000",".667","16.0","3.8","3.4","0.7","0.0","-0.001","-3.7","-0.3","ATL"
"2010","NBA","2","53","Pape Sy","","3","21","7","3","2",".333",".000","1.000","7.0","2.3","1.0","0.7","0.0","-0.047","-6.0","0.0","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2009","NBA","1","19","Jeff Teague","Wake Forest","826","22164","10061","1989","4585",".444",".360",".844","26.8","12.2","2.4","5.6","52.4",".113","0.6","14.3","ATL"
"2009","NBA","2","49","Sergiy Gladyr","","","","","","","","","","","","","","","","","","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2007","NBA","1","3","Al Horford","Florida","1091","34615","14300","8646","3530",".513",".382",".761","31.7","13.1","7.9","3.2","114.0",".158","3.0","43.5","ATL"
"2007","NBA","1","11","Acie Law","Texas A&M","188","2385","725","195","309",".413",".235",".778","12.7","3.9","1.0","1.6","1.6",".032","-3.9","-1.1","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
"2006","NBA","1","5","Shelden Williams","Duke","361","5586","1618","1562","163",".462",".222",".740","15.5","4.5","4.3","0.5","9.9",".085","-3.0","-1.5","ATL"
"2006","NBA","2","33","Solomon Jones","South Florida","281","3092","839","654","99",".467",".111",".717","11.0","3.0","2.3","0.4","5.0",".078","-4.0","-1.6","ATL"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","ATL"
