"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP_PerGame","PTS_PerGame","TRB_PerGame","AST_PerGame","WS","WS_per_48","BPM","VORP","Team"
"2022","NBA","2","44","Ryan Rollins (↳GSW)","Toledo","34","208","96","36","29",".443",".500",".815","6.1","2.8","1.1","0.9","0.1",".026","-0.5","0.1","ATL"
"2019","NBA","1","8","Jaxson Hayes (↳NOP)","Texas","321","5104","2174","1220","210",".637",".268",".710","15.9","6.8","3.8","0.7","17.1",".161","-0.4","2.1","ATL"
"2019","NBA","2","35","Marcos Louzada Silva (↳NOP)","","12","185","43","20","8",".326",".355","1.000","15.4","3.6","1.7","0.7","-0.1","-0.034","-8.1","-0.3","ATL"
"2018","NBA","1","3","Luka Dončić (↳DAL)","","412","14398","11821","3568","3413",".468",".346",".749","34.9","28.7","8.7","8.3","52.5",".175","7.6","35.0","ATL"
"2018","NBA","2","34","Devonte' Graham (↳CHO)","Kansas","336","8359","3733","758","1448",".371",".354",".812","24.9","11.1","2.3","4.3","12.7",".073","-0.5","3.2","ATL"
"2016","NBA","2","54","Kay Felder (↳CLE)","Oakland","58","526","223","59","78",".364",".268",".754","9.1","3.8","1.0","1.3","-0.4","-0.041","-4.7","-0.4","ATL"
"2015","NBA","1","15","Kelly Oubre (↳WAS)","Kansas","607","16037","7956","2720","653",".434",".326",".751","26.4","13.1","4.5","1.1","22.2",".067","-1.9","0.4","ATL"
"2013","NBA","1","18","Shane Larkin (↳DAL)","Miami (FL)","256","4880","1399","490","737",".422",".336",".777","19.1","5.5","1.9","2.9","4.4",".044","-2.4","-0.6","ATL"
"2013","NBA","2","47","Raul Neto (↳UTA)","","435","6765","2470","658","913",".458",".361",".812","15.6","5.7","1.5","2.1","11.6",".082","-1.5","0.8","ATL"
"2013","NBA","2","50","James Ennis (↳MIA)","Cal State Long Beach","395","8022","2629","1306","373",".457",".360",".797","20.3","6.7","3.3","0.9","16.2",".097","-1.5","0.9","ATL"
"2010","NBA","1","24","Damion James (↳NJN)","Texas","39","623","150","131","26",".415",".000",".667","16.0","3.8","3.4","0.7","0.0","-0.001","-3.7","-0.3","ATL"
"2023","NBA","2","35","Julian Phillips (↳WAS ↳CHI)","Tennessee","53","504","147","63","18",".424",".328",".613","9.5","2.8","1.2","0.3","0.4",".037","-4.3","-0.3","BOS"
"2020","NBA","1","30","Desmond Bane (↳MEM)","TCU","250","7228","4365","1053","826",".469",".415",".879","28.9","17.5","4.2","3.3","19.5",".130","2.2","7.7","BOS"
"2019","NBA","1","20","Matisse Thybulle (↳PHI)","Washington","332","6957","1586","658","360",".435",".338",".679","21.0","4.8","2.0","1.1","13.2",".091","0.7","4.7","BOS"
"2016","NBA","2","31","Deyonta Davis (↳MEM)","Michigan State","107","1299","454","346","47",".599",".000",".635","12.1","4.2","3.2","0.4","3.6",".131","-2.1","0.0","BOS"
"2016","NBA","2","35","Rade Zagorac (↳MEM)","","","","","","","","","","","","","","","","","","BOS"
"2013","NBA","1","16","Lucas Nogueira (↳DAL ↳ATL)","","141","1754","446","388","72",".632",".265",".640","12.4","3.2","2.8","0.5","6.0",".165","2.3","1.9","BOS"
"2011","NBA","1","25","MarShon Brooks (↳NJN)","Providence","200","3456","1592","424","282",".447",".345",".751","17.3","8.0","2.1","1.4","3.3",".046","-1.6","0.4","BOS"
"2007","NBA","1","5","Jeff Green (↳SEA)","Georgetown","1188","32873","14249","4825","1765",".450",".337",".804","27.7","12.0","4.1","1.5","54.6",".080","-1.5","4.4","BOS"
